월급,고정지출,식비/외식,교통/자동차,편의점/마트,금융,여가비,커피/디저트,쇼핑,비상금,군집
1286000,0.03,0.26,0.15,0.24,0.07,0.18,0.07,0.32,0.07,2
1249000,0.03,0.25,0.16,0.27,0.07,0.19,0.07,0.39,0.07,2
1262000,0.03,0.25,0.14,0.23,0.07,0.18,0.07,0.35,0.07,2
1265000,0.03,0.32,0.15,0.26,0.07,0.22,0.07,0.4,0.07,2
1248000,0.03,0.25,0.15,0.27,0.07,0.19,0.07,0.35,0.07,2
1364000,0.03,0.25,0.16,0.23,0.07,0.19,0.07,0.32,0.07,2
1288000,0.03,0.32,0.14,0.26,0.07,0.2,0.08,0.35,0.07,2
1292000,0.03,0.28,0.15,0.24,0.07,0.19,0.06,0.35,0.07,2
1311000,0.03,0.3,0.15,0.23,0.07,0.22,0.06,0.32,0.07,2
1275000,0.03,0.27,0.16,0.25,0.07,0.21,0.06,0.33,0.07,2
1324000,0.03,0.26,0.16,0.23,0.07,0.18,0.07,0.38,0.07,2
1239000,0.03,0.25,0.15,0.26,0.07,0.21,0.06,0.4,0.07,2
1345000,0.03,0.26,0.15,0.27,0.07,0.21,0.06,0.34,0.07,2
1252000,0.03,0.26,0.15,0.24,0.07,0.22,0.08,0.34,0.07,2
1347000,0.03,0.31,0.14,0.27,0.07,0.19,0.06,0.36,0.07,2
1273000,0.03,0.32,0.15,0.24,0.07,0.21,0.08,0.37,0.07,2
1321000,0.03,0.29,0.16,0.27,0.07,0.21,0.08,0.41,0.07,2
1282000,0.03,0.27,0.14,0.25,0.07,0.19,0.07,0.32,0.07,2
1266000,0.03,0.29,0.16,0.23,0.07,0.23,0.08,0.32,0.07,2
1313000,0.03,0.28,0.14,0.27,0.07,0.2,0.07,0.34,0.07,2
1270000,0.03,0.24,0.14,0.27,0.07,0.21,0.06,0.31,0.07,2
1244000,0.03,0.25,0.14,0.25,0.07,0.18,0.06,0.34,0.07,2
1350000,0.03,0.31,0.16,0.24,0.07,0.2,0.07,0.37,0.07,2
1274000,0.03,0.3,0.15,0.27,0.07,0.19,0.07,0.39,0.07,2
1242000,0.03,0.24,0.15,0.23,0.07,0.23,0.06,0.39,0.07,2
1355000,0.03,0.24,0.16,0.24,0.07,0.17,0.07,0.34,0.07,2
1281000,0.03,0.27,0.15,0.24,0.07,0.23,0.07,0.35,0.07,2
1282000,0.03,0.3,0.14,0.27,0.07,0.19,0.07,0.34,0.07,2
1268000,0.03,0.25,0.14,0.26,0.07,0.19,0.07,0.41,0.07,2
1345000,0.03,0.28,0.16,0.25,0.07,0.21,0.07,0.34,0.07,2
1355000,0.03,0.28,0.16,0.24,0.07,0.2,0.07,0.41,0.07,2
1291000,0.03,0.24,0.15,0.26,0.07,0.17,0.07,0.31,0.07,2
1352000,0.03,0.29,0.15,0.25,0.07,0.22,0.08,0.37,0.07,2
1352000,0.03,0.28,0.14,0.27,0.07,0.2,0.07,0.34,0.07,2
1283000,0.03,0.29,0.14,0.26,0.07,0.19,0.07,0.33,0.07,2
1305000,0.03,0.31,0.16,0.25,0.07,0.17,0.07,0.31,0.07,2
1349000,0.03,0.29,0.15,0.23,0.07,0.22,0.07,0.32,0.07,2
1286000,0.03,0.3,0.16,0.23,0.07,0.19,0.07,0.34,0.07,2
1353000,0.03,0.24,0.15,0.26,0.07,0.18,0.08,0.39,0.07,2
1267000,0.03,0.32,0.16,0.26,0.07,0.18,0.06,0.35,0.07,2
1263000,0.03,0.3,0.15,0.24,0.07,0.19,0.08,0.4,0.07,2
1251000,0.03,0.3,0.14,0.25,0.07,0.21,0.07,0.37,0.07,2
1289000,0.03,0.26,0.16,0.26,0.07,0.19,0.06,0.39,0.07,2
1268000,0.03,0.32,0.16,0.27,0.07,0.2,0.07,0.39,0.07,2
1344000,0.03,0.32,0.14,0.24,0.07,0.21,0.07,0.35,0.07,2
1274000,0.03,0.25,0.15,0.26,0.07,0.21,0.06,0.32,0.07,2
1288000,0.03,0.25,0.14,0.24,0.07,0.17,0.06,0.35,0.07,2
1308000,0.03,0.28,0.16,0.25,0.07,0.22,0.07,0.36,0.07,2
1307000,0.03,0.25,0.15,0.23,0.07,0.2,0.06,0.36,0.07,2
1338000,0.03,0.29,0.15,0.26,0.07,0.17,0.08,0.36,0.07,2
1245000,0.03,0.3,0.14,0.26,0.07,0.23,0.07,0.4,0.07,2
1280000,0.03,0.27,0.15,0.24,0.07,0.17,0.07,0.41,0.07,2
1336000,0.03,0.28,0.16,0.24,0.07,0.18,0.07,0.34,0.07,2
1275000,0.03,0.3,0.14,0.24,0.07,0.18,0.08,0.38,0.07,2
1297000,0.03,0.24,0.15,0.24,0.07,0.22,0.07,0.33,0.07,2
1314000,0.03,0.31,0.14,0.24,0.07,0.17,0.08,0.34,0.07,2
1283000,0.03,0.29,0.16,0.24,0.07,0.21,0.07,0.37,0.07,2
1270000,0.03,0.31,0.15,0.24,0.07,0.18,0.08,0.34,0.07,2
1341000,0.03,0.3,0.14,0.24,0.07,0.19,0.06,0.39,0.07,2
1276000,0.03,0.3,0.14,0.25,0.07,0.19,0.08,0.35,0.07,2
1292000,0.03,0.31,0.15,0.26,0.07,0.19,0.08,0.41,0.07,2
1283000,0.03,0.29,0.16,0.25,0.07,0.2,0.07,0.38,0.07,2
1243000,0.03,0.28,0.16,0.27,0.07,0.19,0.06,0.37,0.07,2
1306000,0.03,0.32,0.16,0.24,0.07,0.18,0.07,0.37,0.07,2
1286000,0.03,0.32,0.16,0.27,0.07,0.2,0.07,0.31,0.07,2
1287000,0.03,0.26,0.16,0.27,0.07,0.2,0.08,0.38,0.07,2
1315000,0.03,0.28,0.15,0.23,0.07,0.22,0.07,0.41,0.07,2
1287000,0.03,0.27,0.16,0.23,0.07,0.18,0.07,0.35,0.07,2
1253000,0.03,0.26,0.16,0.27,0.07,0.21,0.07,0.36,0.07,2
1364000,0.03,0.24,0.16,0.26,0.07,0.19,0.07,0.38,0.07,2
1319000,0.03,0.26,0.15,0.27,0.07,0.18,0.08,0.37,0.07,2
1335000,0.03,0.31,0.16,0.27,0.07,0.2,0.07,0.33,0.07,2
1246000,0.03,0.24,0.14,0.26,0.07,0.22,0.07,0.39,0.07,2
1270000,0.03,0.27,0.15,0.27,0.07,0.21,0.06,0.39,0.07,2
1342000,0.03,0.32,0.14,0.23,0.07,0.18,0.07,0.41,0.07,2
1280000,0.03,0.3,0.15,0.27,0.07,0.19,0.07,0.36,0.07,2
1241000,0.03,0.29,0.16,0.24,0.07,0.18,0.07,0.32,0.07,2
1341000,0.03,0.31,0.14,0.26,0.07,0.18,0.08,0.36,0.07,2
1290000,0.03,0.31,0.16,0.26,0.07,0.21,0.08,0.37,0.07,2
1250000,0.03,0.31,0.16,0.27,0.07,0.17,0.06,0.33,0.07,2
1290000,0.03,0.28,0.14,0.27,0.07,0.2,0.06,0.36,0.07,2
1312000,0.03,0.28,0.16,0.27,0.07,0.22,0.06,0.39,0.07,2
1253000,0.03,0.31,0.14,0.25,0.07,0.17,0.07,0.32,0.07,2
1305000,0.03,0.32,0.14,0.24,0.07,0.22,0.07,0.32,0.07,2
1360000,0.03,0.29,0.14,0.27,0.07,0.18,0.06,0.4,0.07,2
1317000,0.03,0.3,0.16,0.24,0.07,0.2,0.07,0.32,0.07,2
1364000,0.03,0.29,0.14,0.24,0.07,0.2,0.06,0.32,0.07,2
1359000,0.03,0.27,0.14,0.25,0.07,0.18,0.06,0.4,0.07,2
1292000,0.03,0.26,0.15,0.25,0.07,0.2,0.06,0.37,0.07,2
1277000,0.03,0.29,0.14,0.25,0.07,0.21,0.08,0.33,0.07,2
1359000,0.03,0.24,0.16,0.25,0.07,0.2,0.06,0.37,0.07,2
1348000,0.03,0.29,0.15,0.25,0.07,0.19,0.06,0.31,0.07,2
1256000,0.03,0.32,0.14,0.24,0.07,0.2,0.06,0.37,0.07,2
1272000,0.03,0.27,0.16,0.23,0.07,0.19,0.06,0.35,0.07,2
1252000,0.03,0.29,0.16,0.27,0.07,0.22,0.06,0.39,0.07,2
1280000,0.03,0.24,0.14,0.25,0.07,0.18,0.07,0.41,0.07,2
1362000,0.03,0.26,0.14,0.27,0.07,0.19,0.07,0.36,0.07,2
1356000,0.03,0.29,0.14,0.24,0.07,0.17,0.07,0.41,0.07,2
1310000,0.03,0.31,0.16,0.23,0.07,0.17,0.08,0.33,0.07,2
1321000,0.03,0.32,0.14,0.25,0.07,0.2,0.07,0.39,0.07,2
1281000,0.03,0.24,0.16,0.26,0.07,0.22,0.07,0.32,0.07,2
1352000,0.03,0.25,0.16,0.24,0.07,0.23,0.08,0.39,0.07,2
1274000,0.03,0.3,0.14,0.24,0.07,0.21,0.06,0.36,0.07,2
1256000,0.03,0.29,0.16,0.26,0.07,0.22,0.06,0.4,0.07,2
1305000,0.03,0.32,0.14,0.23,0.07,0.18,0.07,0.34,0.07,2
1262000,0.03,0.27,0.16,0.26,0.07,0.19,0.08,0.34,0.07,2
1296000,0.03,0.27,0.16,0.26,0.07,0.17,0.07,0.31,0.07,2
1263000,0.03,0.3,0.15,0.23,0.07,0.22,0.07,0.32,0.07,2
1256000,0.03,0.3,0.14,0.24,0.07,0.2,0.07,0.31,0.07,2
1325000,0.03,0.25,0.14,0.23,0.07,0.23,0.08,0.36,0.07,2
1296000,0.03,0.26,0.16,0.23,0.07,0.17,0.06,0.41,0.07,2
1317000,0.03,0.29,0.16,0.23,0.07,0.2,0.08,0.33,0.07,2
1287000,0.03,0.27,0.15,0.26,0.07,0.21,0.06,0.32,0.07,2
1348000,0.03,0.26,0.15,0.27,0.07,0.18,0.07,0.34,0.07,2
1340000,0.03,0.26,0.16,0.24,0.07,0.2,0.08,0.38,0.07,2
1291000,0.03,0.26,0.15,0.25,0.07,0.23,0.08,0.32,0.07,2
1251000,0.03,0.26,0.14,0.26,0.07,0.18,0.07,0.37,0.07,2
1346000,0.03,0.31,0.14,0.25,0.07,0.17,0.07,0.33,0.07,2
1266000,0.03,0.29,0.15,0.24,0.07,0.2,0.08,0.41,0.07,2
1363000,0.03,0.3,0.16,0.23,0.07,0.18,0.08,0.32,0.07,2
1348000,0.03,0.29,0.14,0.26,0.07,0.21,0.07,0.37,0.07,2
1331000,0.03,0.28,0.15,0.24,0.07,0.19,0.07,0.39,0.07,2
1243000,0.03,0.28,0.16,0.25,0.07,0.18,0.06,0.37,0.07,2
1329000,0.03,0.28,0.15,0.23,0.07,0.2,0.07,0.32,0.07,2
1350000,0.03,0.32,0.14,0.25,0.07,0.17,0.08,0.37,0.07,2
1269000,0.03,0.31,0.16,0.24,0.07,0.21,0.06,0.4,0.07,2
1319000,0.03,0.27,0.15,0.27,0.07,0.18,0.06,0.31,0.07,2
1312000,0.03,0.27,0.15,0.24,0.07,0.2,0.06,0.4,0.07,2
1241000,0.03,0.31,0.16,0.24,0.07,0.17,0.07,0.31,0.07,2
1272000,0.03,0.31,0.14,0.25,0.07,0.18,0.07,0.4,0.07,2
1326000,0.03,0.3,0.14,0.26,0.07,0.23,0.06,0.32,0.07,2
1344000,0.03,0.26,0.16,0.27,0.07,0.23,0.07,0.31,0.07,2
1264000,0.03,0.29,0.15,0.26,0.07,0.21,0.06,0.33,0.07,2
1339000,0.03,0.25,0.15,0.25,0.07,0.18,0.06,0.4,0.07,2
1286000,0.03,0.26,0.14,0.24,0.07,0.23,0.06,0.31,0.07,2
1242000,0.03,0.31,0.16,0.24,0.07,0.21,0.06,0.38,0.07,2
1318000,0.03,0.27,0.15,0.24,0.07,0.23,0.06,0.31,0.07,2
1262000,0.03,0.29,0.16,0.26,0.07,0.21,0.07,0.4,0.07,2
1349000,0.03,0.24,0.14,0.25,0.07,0.18,0.07,0.4,0.07,2
1345000,0.03,0.25,0.16,0.24,0.07,0.18,0.07,0.4,0.07,2
1268000,0.03,0.26,0.15,0.25,0.07,0.21,0.07,0.33,0.07,2
1347000,0.03,0.32,0.15,0.24,0.07,0.18,0.06,0.32,0.07,2
1256000,0.03,0.26,0.16,0.23,0.07,0.2,0.06,0.39,0.07,2
1284000,0.03,0.3,0.14,0.27,0.07,0.23,0.08,0.4,0.07,2
1296000,0.03,0.3,0.15,0.25,0.07,0.21,0.07,0.41,0.07,2
1317000,0.03,0.29,0.15,0.27,0.07,0.22,0.07,0.37,0.07,2
1319000,0.03,0.26,0.14,0.24,0.07,0.2,0.07,0.35,0.07,2
1349000,0.03,0.24,0.16,0.24,0.07,0.19,0.07,0.32,0.07,2
1339000,0.03,0.29,0.16,0.25,0.07,0.21,0.07,0.35,0.07,2
1334000,0.03,0.26,0.16,0.24,0.07,0.23,0.06,0.39,0.07,2
1310000,0.03,0.24,0.14,0.23,0.07,0.22,0.07,0.38,0.07,2
1358000,0.03,0.28,0.14,0.26,0.07,0.18,0.07,0.38,0.07,2
1339000,0.03,0.29,0.15,0.27,0.07,0.18,0.06,0.38,0.07,2
1256000,0.03,0.32,0.14,0.23,0.07,0.21,0.06,0.32,0.07,2
1266000,0.03,0.3,0.16,0.23,0.07,0.19,0.06,0.4,0.07,2
1293000,0.03,0.24,0.16,0.25,0.07,0.22,0.06,0.4,0.07,2
1271000,0.03,0.24,0.16,0.23,0.07,0.2,0.08,0.36,0.07,2
1309000,0.03,0.26,0.15,0.23,0.07,0.23,0.07,0.36,0.07,2
1351000,0.03,0.24,0.15,0.25,0.07,0.18,0.07,0.35,0.07,2
1273000,0.03,0.25,0.15,0.25,0.07,0.21,0.06,0.36,0.07,2
1351000,0.03,0.26,0.14,0.25,0.07,0.19,0.07,0.37,0.07,2
1330000,0.03,0.26,0.16,0.24,0.07,0.21,0.08,0.32,0.07,2
2165000,0.06,0.14,0.46,0.05,0.01,0.04,0.04,0.24,0.19,3
2157000,0.06,0.13,0.46,0.06,0.01,0.04,0.04,0.22,0.19,3
2055000,0.06,0.13,0.47,0.06,0.01,0.03,0.03,0.25,0.19,3
2132000,0.06,0.15,0.47,0.06,0.01,0.04,0.04,0.21,0.19,3
2126000,0.06,0.15,0.42,0.06,0.01,0.04,0.05,0.2,0.19,3
2145000,0.06,0.12,0.45,0.07,0.01,0.04,0.04,0.25,0.2,3
2059000,0.06,0.13,0.42,0.06,0.01,0.04,0.04,0.21,0.19,3
2119000,0.06,0.15,0.48,0.07,0.01,0.04,0.04,0.19,0.19,3
2185000,0.06,0.16,0.45,0.06,0.01,0.04,0.04,0.24,0.19,3
2169000,0.06,0.15,0.5,0.06,0.01,0.04,0.05,0.19,0.19,3
2116000,0.06,0.15,0.47,0.06,0.01,0.04,0.04,0.21,0.18,3
2202000,0.06,0.15,0.42,0.06,0.01,0.04,0.04,0.21,0.19,3
2041000,0.06,0.12,0.43,0.06,0.01,0.05,0.04,0.21,0.19,3
2184000,0.06,0.12,0.44,0.07,0.01,0.04,0.04,0.21,0.19,3
2034000,0.06,0.15,0.45,0.06,0.01,0.03,0.04,0.2,0.19,3
2024000,0.06,0.15,0.47,0.06,0.01,0.04,0.04,0.2,0.19,3
2096000,0.06,0.14,0.46,0.07,0.01,0.04,0.04,0.19,0.19,3
2052000,0.06,0.15,0.49,0.05,0.01,0.05,0.03,0.21,0.19,3
2078000,0.06,0.16,0.44,0.05,0.01,0.04,0.03,0.2,0.19,3
2059000,0.06,0.14,0.43,0.06,0.01,0.04,0.04,0.22,0.19,3
2168000,0.06,0.14,0.44,0.07,0.01,0.04,0.03,0.2,0.18,3
2049000,0.06,0.16,0.49,0.06,0.01,0.03,0.04,0.23,0.19,3
2172000,0.06,0.13,0.46,0.06,0.01,0.04,0.03,0.24,0.19,3
2012000,0.06,0.14,0.43,0.06,0.01,0.04,0.05,0.25,0.18,3
2084000,0.06,0.16,0.47,0.06,0.01,0.04,0.05,0.2,0.19,3
2114000,0.06,0.14,0.45,0.06,0.01,0.04,0.04,0.23,0.19,3
2166000,0.06,0.16,0.42,0.06,0.01,0.04,0.04,0.19,0.19,3
2135000,0.06,0.14,0.46,0.06,0.01,0.04,0.04,0.25,0.19,3
2014000,0.06,0.14,0.48,0.06,0.01,0.04,0.04,0.21,0.2,3
2148000,0.06,0.12,0.43,0.06,0.01,0.05,0.04,0.21,0.19,3
2112000,0.06,0.15,0.44,0.06,0.01,0.05,0.04,0.25,0.19,3
2107000,0.06,0.14,0.49,0.06,0.01,0.04,0.04,0.24,0.19,3
2130000,0.06,0.16,0.49,0.06,0.01,0.04,0.04,0.2,0.19,3
2068000,0.06,0.14,0.45,0.06,0.01,0.04,0.04,0.23,0.19,3
2088000,0.06,0.14,0.44,0.06,0.01,0.04,0.04,0.23,0.19,3
2193000,0.06,0.12,0.48,0.06,0.01,0.05,0.04,0.24,0.19,3
2138000,0.06,0.15,0.49,0.07,0.01,0.04,0.04,0.22,0.19,3
2136000,0.06,0.13,0.44,0.06,0.01,0.04,0.03,0.19,0.19,3
2179000,0.06,0.14,0.49,0.06,0.01,0.03,0.04,0.2,0.19,3
2005000,0.06,0.13,0.42,0.07,0.01,0.04,0.04,0.22,0.2,3
2122000,0.06,0.15,0.43,0.06,0.01,0.04,0.04,0.2,0.19,3
2096000,0.06,0.13,0.44,0.06,0.01,0.04,0.04,0.22,0.19,3
2185000,0.06,0.14,0.49,0.06,0.01,0.04,0.04,0.2,0.19,3
2022000,0.06,0.16,0.46,0.06,0.01,0.04,0.04,0.19,0.19,3
2033000,0.06,0.16,0.49,0.06,0.01,0.04,0.04,0.24,0.19,3
2198000,0.06,0.14,0.42,0.05,0.01,0.04,0.04,0.24,0.19,3
2039000,0.06,0.16,0.46,0.06,0.01,0.03,0.05,0.21,0.19,3
2111000,0.06,0.15,0.48,0.06,0.01,0.04,0.04,0.25,0.19,3
2030000,0.06,0.13,0.5,0.06,0.01,0.04,0.04,0.21,0.19,3
2043000,0.06,0.15,0.45,0.06,0.01,0.04,0.04,0.25,0.19,3
2017000,0.06,0.14,0.48,0.06,0.01,0.04,0.05,0.24,0.19,3
2123000,0.06,0.12,0.46,0.06,0.01,0.04,0.04,0.23,0.19,3
2194000,0.06,0.16,0.44,0.06,0.01,0.04,0.04,0.21,0.19,3
2084000,0.06,0.16,0.49,0.06,0.01,0.04,0.03,0.23,0.19,3
2014000,0.06,0.13,0.42,0.06,0.01,0.04,0.04,0.21,0.19,3
2174000,0.06,0.16,0.47,0.06,0.01,0.04,0.05,0.25,0.19,3
2192000,0.06,0.12,0.43,0.05,0.01,0.04,0.03,0.24,0.19,3
2178000,0.06,0.15,0.46,0.05,0.01,0.04,0.04,0.21,0.19,3
2053000,0.06,0.15,0.49,0.06,0.01,0.04,0.04,0.23,0.19,3
2153000,0.06,0.14,0.5,0.06,0.01,0.04,0.03,0.22,0.19,3
2115000,0.06,0.16,0.43,0.07,0.01,0.04,0.05,0.2,0.19,3
2041000,0.06,0.13,0.42,0.06,0.01,0.04,0.03,0.2,0.19,3
2105000,0.06,0.15,0.44,0.05,0.01,0.04,0.04,0.19,0.19,3
2189000,0.06,0.16,0.47,0.06,0.01,0.04,0.03,0.23,0.19,3
2034000,0.06,0.12,0.42,0.06,0.01,0.03,0.04,0.25,0.19,3
2179000,0.06,0.13,0.45,0.06,0.01,0.03,0.04,0.22,0.19,3
2021000,0.06,0.13,0.46,0.06,0.01,0.04,0.04,0.23,0.19,3
2157000,0.06,0.13,0.44,0.06,0.01,0.04,0.04,0.21,0.19,3
2127000,0.06,0.13,0.45,0.06,0.01,0.04,0.05,0.19,0.19,3
2039000,0.06,0.15,0.45,0.06,0.01,0.04,0.04,0.25,0.2,3
2002000,0.06,0.14,0.48,0.07,0.01,0.04,0.04,0.23,0.19,3
2106000,0.06,0.14,0.47,0.06,0.01,0.04,0.04,0.25,0.19,3
2196000,0.06,0.15,0.46,0.06,0.01,0.04,0.05,0.2,0.19,3
2002000,0.06,0.14,0.43,0.06,0.01,0.03,0.04,0.22,0.19,3
2088000,0.06,0.16,0.47,0.05,0.01,0.04,0.04,0.24,0.19,3
2136000,0.06,0.13,0.47,0.06,0.01,0.04,0.04,0.21,0.19,3
2205000,0.06,0.14,0.49,0.06,0.01,0.04,0.04,0.2,0.19,3
2103000,0.06,0.14,0.45,0.06,0.01,0.05,0.05,0.24,0.2,3
2013000,0.06,0.16,0.49,0.06,0.01,0.04,0.04,0.22,0.19,3
2002000,0.06,0.14,0.46,0.06,0.01,0.04,0.04,0.21,0.19,3
2107000,0.06,0.15,0.45,0.06,0.01,0.04,0.04,0.19,0.2,3
2130000,0.06,0.14,0.47,0.06,0.01,0.05,0.04,0.21,0.19,3
2185000,0.06,0.13,0.45,0.06,0.01,0.04,0.04,0.22,0.19,3
2120000,0.06,0.15,0.46,0.06,0.01,0.03,0.04,0.22,0.19,3
2097000,0.06,0.15,0.46,0.06,0.01,0.04,0.05,0.23,0.19,3
2055000,0.06,0.16,0.45,0.06,0.01,0.04,0.04,0.24,0.19,3
2008000,0.06,0.15,0.46,0.05,0.01,0.04,0.04,0.24,0.19,3
2154000,0.06,0.12,0.46,0.06,0.01,0.04,0.04,0.19,0.18,3
2169000,0.06,0.14,0.48,0.06,0.01,0.03,0.04,0.2,0.2,3
2174000,0.06,0.13,0.46,0.06,0.01,0.04,0.04,0.23,0.19,3
2047000,0.06,0.14,0.46,0.06,0.01,0.04,0.04,0.2,0.19,3
2023000,0.06,0.16,0.44,0.06,0.01,0.04,0.04,0.22,0.18,3
2156000,0.06,0.15,0.44,0.06,0.01,0.04,0.04,0.21,0.19,3
2165000,0.06,0.15,0.49,0.06,0.01,0.04,0.04,0.19,0.18,3
2116000,0.06,0.14,0.46,0.05,0.01,0.04,0.04,0.19,0.19,3
2025000,0.06,0.14,0.5,0.05,0.01,0.04,0.04,0.19,0.19,3
2175000,0.06,0.15,0.43,0.06,0.01,0.03,0.04,0.21,0.19,3
2081000,0.06,0.16,0.45,0.06,0.01,0.04,0.03,0.2,0.19,3
2102000,0.06,0.15,0.46,0.07,0.01,0.04,0.04,0.22,0.19,3
2027000,0.06,0.15,0.45,0.06,0.01,0.04,0.03,0.23,0.19,3
2190000,0.06,0.14,0.42,0.05,0.01,0.05,0.04,0.23,0.19,3
2005000,0.06,0.14,0.48,0.06,0.01,0.04,0.05,0.19,0.19,3
2151000,0.06,0.13,0.44,0.06,0.01,0.04,0.03,0.2,0.19,3
2001000,0.06,0.13,0.45,0.05,0.01,0.04,0.04,0.23,0.18,3
2021000,0.06,0.15,0.5,0.06,0.01,0.04,0.04,0.19,0.19,3
2149000,0.06,0.14,0.46,0.06,0.01,0.04,0.04,0.21,0.19,3
2108000,0.06,0.13,0.46,0.07,0.01,0.04,0.04,0.21,0.19,3
2095000,0.06,0.13,0.49,0.07,0.01,0.04,0.04,0.19,0.19,3
2188000,0.06,0.15,0.44,0.06,0.01,0.04,0.04,0.24,0.19,3
2006000,0.06,0.13,0.46,0.06,0.01,0.04,0.05,0.25,0.19,3
2184000,0.06,0.13,0.49,0.06,0.01,0.05,0.05,0.2,0.2,3
2029000,0.06,0.13,0.45,0.06,0.01,0.04,0.05,0.19,0.2,3
2101000,0.06,0.14,0.47,0.06,0.01,0.05,0.03,0.25,0.19,3
2172000,0.06,0.14,0.46,0.06,0.01,0.04,0.04,0.25,0.19,3
2180000,0.06,0.12,0.5,0.05,0.01,0.04,0.04,0.23,0.19,3
1996000,0.06,0.14,0.43,0.06,0.01,0.03,0.04,0.25,0.2,3
2116000,0.06,0.13,0.45,0.06,0.01,0.04,0.04,0.23,0.19,3
2126000,0.06,0.16,0.48,0.06,0.01,0.04,0.04,0.24,0.2,3
2102000,0.06,0.12,0.5,0.06,0.01,0.04,0.04,0.21,0.19,3
2105000,0.06,0.15,0.44,0.06,0.01,0.04,0.04,0.2,0.19,3
2160000,0.06,0.14,0.49,0.06,0.01,0.04,0.04,0.24,0.19,3
2094000,0.06,0.15,0.48,0.05,0.01,0.03,0.04,0.25,0.19,3
2058000,0.06,0.15,0.46,0.06,0.01,0.05,0.04,0.2,0.18,3
2156000,0.06,0.14,0.46,0.06,0.01,0.04,0.04,0.25,0.2,3
2160000,0.06,0.15,0.46,0.06,0.01,0.04,0.04,0.23,0.19,3
2166000,0.06,0.15,0.5,0.06,0.01,0.03,0.04,0.24,0.19,3
2059000,0.06,0.15,0.5,0.06,0.01,0.04,0.04,0.24,0.19,3
2066000,0.06,0.15,0.44,0.06,0.01,0.04,0.04,0.2,0.19,3
2012000,0.06,0.12,0.47,0.06,0.01,0.04,0.05,0.2,0.19,3
2156000,0.06,0.16,0.5,0.06,0.01,0.04,0.04,0.21,0.19,3
